SSC_NAME16	FamilyComposition	families_with_children
Rosetta	Blended family with other children present	4
Rosetta	Intact family with no other children present	207
Rosetta	Intact family with other children present	6
Rosetta	Step family with no other children present	35
Rosevale (Tas.)	Intact family with no other children present	13
Rosevears	Intact family with no other children present	22
Rosny	Blended family with no other children present	3
Rosny	Intact family with no other children present	72
Rosny	Step family with no other children present	8
Ross (Tas.)	Intact family with no other children present	32
Ross (Tas.)	Step family with no other children present	5
Rossarden	Intact family with no other children present	3
Round Hill (Tas.)	Intact family with no other children present	14
Rowella	Intact family with no other children present	15
Runnymede (Tas.)	Intact family with no other children present	8
Rushy Lagoon	Intact family with no other children present	4
Saltwater River	Intact family with no other children present	11
Sandfly	Blended family with no other children present	3
Sandfly	Intact family with no other children present	41
Sandford (Tas.)	Blended family with no other children present	16
Sandford (Tas.)	Intact family with no other children present	229
Sandford (Tas.)	Intact family with other children present	4
Sandford (Tas.)	Step family with no other children present	14
Sandy Bay	Blended family with no other children present	17
Sandy Bay	Intact family with no other children present	997
Sandy Bay	Intact family with other children present	3
Sandy Bay	Step family with no other children present	67
Sandy Bay	Step family with other children present	3
Sassafras (Tas.)	Intact family with no other children present	43
Scamander	Blended family with no other children present	6
Scamander	Intact family with no other children present	52
Scamander	Step family with no other children present	3
Scopus	Intact family with no other children present	3
Scotchtown	Blended family with no other children present	3
Scotchtown	Intact family with no other children present	31
Scotchtown	Step family with no other children present	4
Scottsdale	Blended family with no other children present	11
Scottsdale	Intact family with no other children present	197
Scottsdale	Step family with no other children present	14
Selbourne	Intact family with no other children present	8
Seven Mile Beach	Blended family with no other children present	10
