SSC_NAME16	NonSchoolQualification	persons
East Maitland	Certificate I and II Level	128
East Maitland	Certificate III and IV Level	2021
East Maitland	Advanced Diploma and Diploma	852
East Maitland	Bachelor	1055
East Maitland	Graduate Diploma and Graduate Certificate	145
East Maitland	Postgraduate	232
East Ryde	Certificate nfd	53
East Ryde	Certificate I and II Level	12
East Ryde	Certificate III and IV Level	190
East Ryde	Advanced Diploma and Diploma	243
East Ryde	Bachelor	492
East Ryde	Graduate Diploma and Graduate Certificate	58
East Ryde	Postgraduate	207
East Seaham	Certificate nfd	11
East Seaham	Certificate III and IV Level	72
East Seaham	Advanced Diploma and Diploma	22
East Seaham	Bachelor	22
East Seaham	Graduate Diploma and Graduate Certificate	3
East Seaham	Postgraduate	12
East Tamworth	Certificate nfd	114
East Tamworth	Certificate I and II Level	79
East Tamworth	Certificate III and IV Level	697
East Tamworth	Advanced Diploma and Diploma	399
East Tamworth	Bachelor	771
East Tamworth	Graduate Diploma and Graduate Certificate	129
East Tamworth	Postgraduate	180
East Wagga Wagga	Certificate nfd	3
East Wagga Wagga	Certificate III and IV Level	51
East Wagga Wagga	Advanced Diploma and Diploma	14
East Wagga Wagga	Bachelor	15
East Wagga Wagga	Graduate Diploma and Graduate Certificate	8
East Wagga Wagga	Postgraduate	3
East Wardell	Certificate nfd	5
East Wardell	Certificate I and II Level	3
East Wardell	Certificate III and IV Level	58
East Wardell	Advanced Diploma and Diploma	19
East Wardell	Bachelor	18
East Wardell	Graduate Diploma and Graduate Certificate	3
East Wardell	Postgraduate	3
Eastern Creek	Certificate nfd	15
Eastern Creek	Certificate I and II Level	3
Eastern Creek	Certificate III and IV Level	124
Eastern Creek	Advanced Diploma and Diploma	39
Eastern Creek	Bachelor	55
Eastern Creek	Postgraduate	10
Eastgardens	Certificate nfd	24
Eastgardens	Certificate I and II Level	9
Eastgardens	Certificate III and IV Level	79
Eastgardens	Advanced Diploma and Diploma	60
Eastgardens	Bachelor	110
Eastgardens	Graduate Diploma and Graduate Certificate	15
Eastgardens	Postgraduate	48
Eastlakes	Certificate nfd	113
Eastlakes	Certificate I and II Level	60
Eastlakes	Certificate III and IV Level	528
Eastlakes	Advanced Diploma and Diploma	482
Eastlakes	Bachelor	959
Eastlakes	Graduate Diploma and Graduate Certificate	73
Eastlakes	Postgraduate	390
Eastwood (NSW)	Certificate nfd	240
Eastwood (NSW)	Certificate I and II Level	95
Eastwood (NSW)	Certificate III and IV Level	946
Eastwood (NSW)	Advanced Diploma and Diploma	1405
Eastwood (NSW)	Bachelor	3900
Eastwood (NSW)	Graduate Diploma and Graduate Certificate	300
Eastwood (NSW)	Postgraduate	2083
Eatonsville	Certificate nfd	6
Eatonsville	Certificate I and II Level	4
Eatonsville	Certificate III and IV Level	29
Eatonsville	Advanced Diploma and Diploma	18
Eatonsville	Bachelor	5
Eatonsville	Graduate Diploma and Graduate Certificate	4
Eatonsville	Postgraduate	3
Ebenezer (NSW)	Certificate nfd	18
Ebenezer (NSW)	Certificate I and II Level	13
Ebenezer (NSW)	Certificate III and IV Level	215
Ebenezer (NSW)	Advanced Diploma and Diploma	78
Ebenezer (NSW)	Bachelor	52
Ebenezer (NSW)	Graduate Diploma and Graduate Certificate	5
Ebenezer (NSW)	Postgraduate	13
Ebor	Certificate nfd	4
Ebor	Certificate III and IV Level	30
Ebor	Advanced Diploma and Diploma	5
Ebor	Bachelor	12
Eccleston	Certificate III and IV Level	11
Eccleston	Advanced Diploma and Diploma	3
Eccleston	Bachelor	7
Eccleston	Postgraduate	3
Eden	Certificate nfd	60
Eden	Certificate I and II Level	47
Eden	Certificate III and IV Level	469
Eden	Advanced Diploma and Diploma	176
Eden	Bachelor	167
Eden	Graduate Diploma and Graduate Certificate	27
Eden	Postgraduate	33
Eden Creek	Certificate nfd	6
Eden Creek	Certificate I and II Level	3
Eden Creek	Certificate III and IV Level	27
Eden Creek	Advanced Diploma and Diploma	9
Eden Creek	Bachelor	17
Eden Creek	Postgraduate	3
Edensor Park	Certificate nfd	173
Edensor Park	Certificate I and II Level	99
Edensor Park	Certificate III and IV Level	967
Edensor Park	Advanced Diploma and Diploma	685
Edensor Park	Bachelor	912
Edensor Park	Graduate Diploma and Graduate Certificate	31
Edensor Park	Postgraduate	145
Edenville	Certificate III and IV Level	7
Edenville	Advanced Diploma and Diploma	4
Edgecliff	Certificate nfd	43
Edgecliff	Certificate I and II Level	3
Edgecliff	Certificate III and IV Level	103
Edgecliff	Advanced Diploma and Diploma	208
Edgecliff	Bachelor	739
Edgecliff	Graduate Diploma and Graduate Certificate	84
Edgecliff	Postgraduate	289
Edgeroi	Certificate III and IV Level	13
Edgeroi	Advanced Diploma and Diploma	6
Edgeroi	Bachelor	12
Edgeworth	Certificate nfd	128
Edgeworth	Certificate I and II Level	76
Edgeworth	Certificate III and IV Level	1222
Edgeworth	Advanced Diploma and Diploma	340
Edgeworth	Bachelor	267
Edgeworth	Graduate Diploma and Graduate Certificate	29
Edgeworth	Postgraduate	29
Edith (NSW)	Certificate nfd	3
Edith (NSW)	Certificate III and IV Level	18
Edith (NSW)	Advanced Diploma and Diploma	5
Edith (NSW)	Bachelor	13
Edmondson Park	Certificate nfd	27
Edmondson Park	Certificate I and II Level	10
Edmondson Park	Certificate III and IV Level	182
Edmondson Park	Advanced Diploma and Diploma	177
Edmondson Park	Bachelor	308
Edmondson Park	Graduate Diploma and Graduate Certificate	22
Edmondson Park	Postgraduate	122
Eenaweena	Certificate III and IV Level	8
Eglinton (NSW)	Certificate nfd	53
Eglinton (NSW)	Certificate I and II Level	31
Eglinton (NSW)	Certificate III and IV Level	428
Eglinton (NSW)	Advanced Diploma and Diploma	139
Eglinton (NSW)	Bachelor	181
Eglinton (NSW)	Graduate Diploma and Graduate Certificate	30
Eglinton (NSW)	Postgraduate	33
Elands	Certificate nfd	4
Elands	Certificate III and IV Level	32
Elands	Advanced Diploma and Diploma	12
Elands	Bachelor	21
Elands	Postgraduate	3
Elanora Heights	Certificate nfd	120
Elanora Heights	Certificate I and II Level	27
Elanora Heights	Certificate III and IV Level	517
Elanora Heights	Advanced Diploma and Diploma	444
Elanora Heights	Bachelor	675
Elanora Heights	Graduate Diploma and Graduate Certificate	89
Elanora Heights	Postgraduate	203
Elcombe	Certificate III and IV Level	6
Elderslie (Camden - NSW)	Certificate nfd	98
Elderslie (Camden - NSW)	Certificate I and II Level	59
Elderslie (Camden - NSW)	Certificate III and IV Level	1024
Elderslie (Camden - NSW)	Advanced Diploma and Diploma	485
Elderslie (Camden - NSW)	Bachelor	592
Elderslie (Camden - NSW)	Graduate Diploma and Graduate Certificate	83
Elderslie (Camden - NSW)	Postgraduate	139
Elderslie (Singleton - NSW)	Certificate I and II Level	3
Elderslie (Singleton - NSW)	Certificate III and IV Level	22
Elderslie (Singleton - NSW)	Advanced Diploma and Diploma	11
Elderslie (Singleton - NSW)	Bachelor	7
Eleebana	Certificate nfd	125
Eleebana	Certificate I and II Level	48
Eleebana	Certificate III and IV Level	843
Eleebana	Advanced Diploma and Diploma	529
Eleebana	Bachelor	882
Eleebana	Graduate Diploma and Graduate Certificate	128
Eleebana	Postgraduate	252
Elermore Vale	Certificate nfd	102
Elermore Vale	Certificate I and II Level	71
Elermore Vale	Certificate III and IV Level	880
Elermore Vale	Advanced Diploma and Diploma	358
Elermore Vale	Bachelor	624
Elermore Vale	Graduate Diploma and Graduate Certificate	67
Elermore Vale	Postgraduate	186
Elizabeth Bay	Certificate nfd	71
Elizabeth Bay	Certificate I and II Level	18
Elizabeth Bay	Certificate III and IV Level	236
Elizabeth Bay	Advanced Diploma and Diploma	431
Elizabeth Bay	Bachelor	1634
Elizabeth Bay	Graduate Diploma and Graduate Certificate	164
Elizabeth Bay	Postgraduate	780
Elizabeth Beach	Certificate nfd	6
Elizabeth Beach	Certificate I and II Level	3
Elizabeth Beach	Certificate III and IV Level	41
Elizabeth Beach	Advanced Diploma and Diploma	17
Elizabeth Beach	Bachelor	19
Elizabeth Beach	Graduate Diploma and Graduate Certificate	4
Elizabeth Beach	Postgraduate	8
Elizabeth Hills	Certificate nfd	32
Elizabeth Hills	Certificate I and II Level	17
Elizabeth Hills	Certificate III and IV Level	276
Elizabeth Hills	Advanced Diploma and Diploma	197
Elizabeth Hills	Bachelor	307
Elizabeth Hills	Graduate Diploma and Graduate Certificate	18
Elizabeth Hills	Postgraduate	76
Ellalong	Certificate nfd	24
Ellalong	Certificate I and II Level	13
Ellalong	Certificate III and IV Level	215
Ellalong	Advanced Diploma and Diploma	71
Ellalong	Bachelor	46
Ellalong	Graduate Diploma and Graduate Certificate	16
Ellalong	Postgraduate	8
Elland	Certificate nfd	16
Elland	Certificate I and II Level	5
Elland	Certificate III and IV Level	56
Elland	Advanced Diploma and Diploma	18
Elland	Bachelor	21
Elland	Graduate Diploma and Graduate Certificate	11
Elland	Postgraduate	3
Ellangowan (NSW)	Certificate nfd	3
Ellangowan (NSW)	Certificate I and II Level	5
Ellangowan (NSW)	Certificate III and IV Level	61
Ellangowan (NSW)	Advanced Diploma and Diploma	14
Ellangowan (NSW)	Bachelor	12
Ellenborough	Certificate I and II Level	4
Ellenborough	Certificate III and IV Level	38
Ellenborough	Advanced Diploma and Diploma	13
Ellenborough	Bachelor	13
Ellerslie (Snowy Valleys - NSW)	Certificate III and IV Level	7
Ellerslie (Snowy Valleys - NSW)	Advanced Diploma and Diploma	4
Ellerslie (Snowy Valleys - NSW)	Bachelor	9
Ellerslie (Wentworth - NSW)	Certificate III and IV Level	11
Ellerslie (Wentworth - NSW)	Advanced Diploma and Diploma	3
Ellerslie (Wentworth - NSW)	Bachelor	3
Ellerslie (Wentworth - NSW)	Graduate Diploma and Graduate Certificate	3
Ellerston	Certificate III and IV Level	12
Ellerston	Advanced Diploma and Diploma	3
Ellerston	Bachelor	4
Ellis Lane	Certificate nfd	23
Ellis Lane	Certificate I and II Level	3
Ellis Lane	Certificate III and IV Level	168
Ellis Lane	Advanced Diploma and Diploma	67
Ellis Lane	Bachelor	104
Ellis Lane	Graduate Diploma and Graduate Certificate	12
Ellis Lane	Postgraduate	27
Elong Elong	Certificate nfd	7
Elong Elong	Certificate III and IV Level	21
Elong Elong	Advanced Diploma and Diploma	11
Elong Elong	Bachelor	15
Elong Elong	Graduate Diploma and Graduate Certificate	3
Elrington	Certificate I and II Level	4
Elrington	Certificate III and IV Level	25
Elrington	Advanced Diploma and Diploma	7
Elrington	Bachelor	11
Elsmore	Certificate nfd	3
Elsmore	Certificate III and IV Level	46
Elsmore	Advanced Diploma and Diploma	33
Elsmore	Bachelor	17
Elsmore	Postgraduate	3
Eltham (NSW)	Certificate nfd	7
Eltham (NSW)	Certificate I and II Level	4
Eltham (NSW)	Certificate III and IV Level	49
Eltham (NSW)	Advanced Diploma and Diploma	33
Eltham (NSW)	Bachelor	62
Eltham (NSW)	Graduate Diploma and Graduate Certificate	3
Eltham (NSW)	Postgraduate	13
Elvina Bay	Certificate III and IV Level	9
Elvina Bay	Advanced Diploma and Diploma	9
Elvina Bay	Bachelor	18
Elvina Bay	Postgraduate	5
Emerald Beach	Certificate nfd	37
Emerald Beach	Certificate I and II Level	26
Emerald Beach	Certificate III and IV Level	426
Emerald Beach	Advanced Diploma and Diploma	196
Emerald Beach	Bachelor	304
Emerald Beach	Graduate Diploma and Graduate Certificate	29
Emerald Beach	Postgraduate	55
Emerald Hill	Certificate III and IV Level	22
Emerald Hill	Advanced Diploma and Diploma	10
Emerald Hill	Bachelor	7
Emerton	Certificate nfd	48
Emerton	Certificate I and II Level	35
Emerton	Certificate III and IV Level	220
Emerton	Advanced Diploma and Diploma	74
Emerton	Bachelor	65
Emerton	Graduate Diploma and Graduate Certificate	6
Emerton	Postgraduate	15
Emmaville	Certificate nfd	3
Emmaville	Certificate I and II Level	10
Emmaville	Certificate III and IV Level	72
Emmaville	Advanced Diploma and Diploma	25
Emmaville	Bachelor	17
Emmaville	Graduate Diploma and Graduate Certificate	4
Emmaville	Postgraduate	5
Empire Bay	Certificate nfd	70
Empire Bay	Certificate I and II Level	21
Empire Bay	Certificate III and IV Level	451
Empire Bay	Advanced Diploma and Diploma	190
Empire Bay	Bachelor	189
Empire Bay	Graduate Diploma and Graduate Certificate	30
Empire Bay	Postgraduate	37
Empire Vale	Certificate nfd	3
Empire Vale	Certificate I and II Level	3
Empire Vale	Certificate III and IV Level	30
Empire Vale	Advanced Diploma and Diploma	9
Empire Vale	Bachelor	5
Empire Vale	Graduate Diploma and Graduate Certificate	5
Emu Heights (NSW)	Certificate nfd	67
Emu Heights (NSW)	Certificate I and II Level	31
Emu Heights (NSW)	Certificate III and IV Level	576
Emu Heights (NSW)	Advanced Diploma and Diploma	250
Emu Heights (NSW)	Bachelor	268
Emu Heights (NSW)	Graduate Diploma and Graduate Certificate	48
Emu Heights (NSW)	Postgraduate	101
Emu Plains	Certificate nfd	160
Emu Plains	Certificate I and II Level	77
Emu Plains	Certificate III and IV Level	1342
Emu Plains	Advanced Diploma and Diploma	623
Emu Plains	Bachelor	695
Emu Plains	Graduate Diploma and Graduate Certificate	107
Emu Plains	Postgraduate	217
Emu Swamp	Certificate nfd	10
Emu Swamp	Certificate III and IV Level	19
Emu Swamp	Advanced Diploma and Diploma	21
Emu Swamp	Bachelor	30
Emu Swamp	Graduate Diploma and Graduate Certificate	6
Emu Swamp	Postgraduate	10
Enfield (NSW)	Certificate nfd	45
Enfield (NSW)	Certificate I and II Level	22
Enfield (NSW)	Certificate III and IV Level	245
Enfield (NSW)	Advanced Diploma and Diploma	229
Enfield (NSW)	Bachelor	479
Enfield (NSW)	Graduate Diploma and Graduate Certificate	31
Enfield (NSW)	Postgraduate	179
Engadine	Certificate nfd	428
Engadine	Certificate I and II Level	136
Engadine	Certificate III and IV Level	3059
Engadine	Advanced Diploma and Diploma	1544
Engadine	Bachelor	1792
Engadine	Graduate Diploma and Graduate Certificate	242
Engadine	Postgraduate	457
Englorie Park	Certificate nfd	5
Englorie Park	Certificate III and IV Level	55
Englorie Park	Advanced Diploma and Diploma	28
Englorie Park	Bachelor	62
Englorie Park	Graduate Diploma and Graduate Certificate	3
Englorie Park	Postgraduate	10
Enmore (Armidale Regional - NSW)	Certificate III and IV Level	11
Enmore (Armidale Regional - NSW)	Advanced Diploma and Diploma	3
Enmore (Armidale Regional - NSW)	Bachelor	4
Enmore (Armidale Regional - NSW)	Postgraduate	3
Enmore (Inner West - NSW)	Certificate nfd	41
Enmore (Inner West - NSW)	Certificate I and II Level	18
Enmore (Inner West - NSW)	Certificate III and IV Level	276
Enmore (Inner West - NSW)	Advanced Diploma and Diploma	301
Enmore (Inner West - NSW)	Bachelor	1021
Enmore (Inner West - NSW)	Graduate Diploma and Graduate Certificate	130
Enmore (Inner West - NSW)	Postgraduate	426
Enngonia	Certificate I and II Level	3
Enngonia	Certificate III and IV Level	8
Enngonia	Advanced Diploma and Diploma	9
Enngonia	Bachelor	7
Epping (NSW)	Certificate nfd	328
Epping (NSW)	Certificate I and II Level	94
Epping (NSW)	Certificate III and IV Level	1110
Epping (NSW)	Advanced Diploma and Diploma	1779
Epping (NSW)	Bachelor	5766
Epping (NSW)	Graduate Diploma and Graduate Certificate	510
Epping (NSW)	Postgraduate	3080
Eraring	Certificate nfd	11
Eraring	Certificate III and IV Level	45
Eraring	Advanced Diploma and Diploma	22
Eraring	Bachelor	28
Eraring	Graduate Diploma and Graduate Certificate	4
Eraring	Postgraduate	11
Eremerang	Certificate III and IV Level	8
Erigolia	Certificate nfd	3
Erigolia	Advanced Diploma and Diploma	3
Erigolia	Bachelor	9
Erin Vale	Certificate III and IV Level	5
Erin Vale	Bachelor	6
Erina	Certificate nfd	101
Erina	Certificate I and II Level	46
Erina	Certificate III and IV Level	625
Erina	Advanced Diploma and Diploma	371
Erina	Bachelor	465
Erina	Graduate Diploma and Graduate Certificate	39
Erina	Postgraduate	119
Erina Heights	Certificate nfd	5
Erina Heights	Certificate III and IV Level	63
Erina Heights	Advanced Diploma and Diploma	43
Erina Heights	Bachelor	54
Erina Heights	Graduate Diploma and Graduate Certificate	12
Erina Heights	Postgraduate	16
Ermington	Certificate nfd	180
Ermington	Certificate I and II Level	69
Ermington	Certificate III and IV Level	1156
Ermington	Advanced Diploma and Diploma	844
Ermington	Bachelor	1438
Ermington	Graduate Diploma and Graduate Certificate	108
Ermington	Postgraduate	515
Erowal Bay	Certificate nfd	9
Erowal Bay	Certificate I and II Level	7
Erowal Bay	Certificate III and IV Level	146
Erowal Bay	Advanced Diploma and Diploma	48
Erowal Bay	Bachelor	45
Erowal Bay	Graduate Diploma and Graduate Certificate	14
Erowal Bay	Postgraduate	18
Errowanbang	Certificate nfd	3
Errowanbang	Certificate I and II Level	3
Errowanbang	Certificate III and IV Level	12
Errowanbang	Advanced Diploma and Diploma	3
Erskine Park	Certificate nfd	119
Erskine Park	Certificate I and II Level	66
Erskine Park	Certificate III and IV Level	1117
Erskine Park	Advanced Diploma and Diploma	444
Erskine Park	Bachelor	547
Erskine Park	Graduate Diploma and Graduate Certificate	42
Erskine Park	Postgraduate	125
Erskineville	Certificate nfd	84
Erskineville	Certificate I and II Level	48
Erskineville	Certificate III and IV Level	501
Erskineville	Advanced Diploma and Diploma	646
Erskineville	Bachelor	2339
Erskineville	Graduate Diploma and Graduate Certificate	249
Erskineville	Postgraduate	1076
Erudgere	Certificate nfd	9
Erudgere	Certificate I and II Level	3
Erudgere	Certificate III and IV Level	21
Erudgere	Advanced Diploma and Diploma	6
Erudgere	Bachelor	8
Eschol Park	Certificate nfd	56
Eschol Park	Certificate I and II Level	37
Eschol Park	Certificate III and IV Level	474
Eschol Park	Advanced Diploma and Diploma	202
Eschol Park	Bachelor	163
Eschol Park	Graduate Diploma and Graduate Certificate	16
Eschol Park	Postgraduate	45
Essington	Certificate III and IV Level	19
Essington	Advanced Diploma and Diploma	8
Essington	Bachelor	5
Essington	Graduate Diploma and Graduate Certificate	3
Estella	Certificate nfd	33
Estella	Certificate I and II Level	22
Estella	Certificate III and IV Level	345
Estella	Advanced Diploma and Diploma	156
Estella	Bachelor	309
Estella	Graduate Diploma and Graduate Certificate	26
Estella	Postgraduate	99
Ettalong Beach	Certificate nfd	112
Ettalong Beach	Certificate I and II Level	55
Ettalong Beach	Certificate III and IV Level	773
Ettalong Beach	Advanced Diploma and Diploma	325
Ettalong Beach	Bachelor	339
Ettalong Beach	Graduate Diploma and Graduate Certificate	46
Ettalong Beach	Postgraduate	84
Ettamogah	Certificate III and IV Level	11
